race_id,race_title,race_date,着順,馬番,馬名,コーナー通過順,上がり3F,単勝オッズ,複勝配当,条件1,条件2,仮説フラグ
202505010101,3歳未勝利,2025/02/01,1,7,サトノシャムロック,5-6,36.9,7.6,330,False,False,False
202505010101,3歳未勝利,2025/02/01,2,4,クラウンハート,10-10,36.4,10.5,340,True,False,False
202505010101,3歳未勝利,2025/02/01,3,10,バーンズベリー,5-4,37.4,71.9,1370,False,False,False
202505010101,3歳未勝利,2025/02/01,4,12,マサノユニコーン,8-9,37.0,233.5,0,False,False,False
202505010101,3歳未勝利,2025/02/01,5,16,キャストロププ,7-7,37.2,9.7,0,False,True,False
202505010101,3歳未勝利,2025/02/01,6,2,ナクライト,4-4,37.7,2.8,0,False,False,False
202505010101,3歳未勝利,2025/02/01,7,15,フェンスブレイカー,2-2,38.0,30.1,0,True,True,True
202505010101,3歳未勝利,2025/02/01,8,14,グリームスター,12-12,37.0,642.9,0,True,False,False
202505010101,3歳未勝利,2025/02/01,9,13,キープサインオン,2-2,38.1,21.3,0,False,False,False
202505010101,3歳未勝利,2025/02/01,10,8,エンジェルラダー,1-1,38.2,2.6,0,False,False,False
202505010101,3歳未勝利,2025/02/01,11,6,レッドソニード,8-7,38.1,14.5,0,False,True,False
202505010101,3歳未勝利,2025/02/01,12,9,スーパーホース,14-14,37.0,354.3,0,False,False,False
202505010101,3歳未勝利,2025/02/01,13,3,ボーマン,10-10,38.2,283.5,0,True,False,False
202505010101,3歳未勝利,2025/02/01,14,1,エソテリック,12-12,38.0,352.1,0,False,False,False
202505010101,3歳未勝利,2025/02/01,15,5,キタノルシール,15-14,37.8,415.2,0,False,False,False
202505010101,3歳未勝利,2025/02/01,16,11,メイショウヒンカク,16-16,37.4,137.2,0,False,False,False
202505010102,3歳未勝利,2025/02/01,1,8,ファミーユウルーズ,2-2-2-2,38.8,6.5,190,True,True,True
202505010102,3歳未勝利,2025/02/01,2,6,シュガーハイ,4-3-3-3,39.2,4.3,170,False,False,False
202505010102,3歳未勝利,2025/02/01,3,5,フィールザゴールド,1-1-1-1,39.7,5.9,190,True,False,False
202505010102,3歳未勝利,2025/02/01,4,14,グロワールスカイ,2-3-3-3,39.8,60.4,0,True,False,False
202505010102,3歳未勝利,2025/02/01,5,11,ネイチャーズロウ,5-6-6-5,39.7,3.9,0,True,False,False
202505010102,3歳未勝利,2025/02/01,6,12,ホークライト,12-12-11-11,39.1,8.7,0,False,True,False
202505010102,3歳未勝利,2025/02/01,7,7,マブアンドフェール,5-6-6-7,39.7,19.4,0,True,True,True
